河道地形							
420							
梯形	1	16.5	60.5112	66.9652	2.5		
293	断面2164	1125742.2	0.012				
梯形	1	16.5	60.4916	66.9456	2.5		
294	断面2165	1126330	0.012				
梯形	1	16.5	60.472	66.921	2.5		
295	断面2166	1126585	0.012				
梯形	1	17	60.459	66.888	1		
296	断面2167	1127139.429	0.012				
城门形	2	7.3	59.81	5.7	4.215		
297	断面2168	1127693.857	0.012				
城门形	2	7.3	59.761	5.7	4.215		
298	断面2169	1128248.286	0.012				
城门形	2	7.3	59.712	5.7	4.215		
299	断面2170	1128802.714	0.012				
城门形	2	7.3	59.663	5.7	4.215		
300	断面2171	1129357.143	0.012				
城门形	2	7.3	59.614	5.7	4.215		
301	断面2172	1129911.571	0.012				
城门形	2	7.3	59.565	5.7	4.215		
302	断面2173	1130466	0.012				
城门形	2	7.3	59.516	5.7	4.215		
303	断面2174	1130652	0.012				
梯形	1	17	60.043	66.416	1		
304	断面2175	1131392	0.012				
梯形	1	18	60.003	66.364	2		
305	断面2176	1132076.5	0.012				
梯形	1	19.5	59.985	66.346	1		
306	断面2177	1132761	0.012				
梯形	1	19.5	59.967	66.329	1		
307	断面2178	1133328.25	0.012				
梯形	1	18	59.94725	66.30925	2		
308	断面2179	1133895.5	0.012				
梯形	1	18	59.9275	66.2895	2		
309	断面2180	1134462.75	0.012				
梯形	1	18	59.90775	66.26975	2		
310	断面2181	1135030	0.012				
梯形	1	18	59.888	66.212	2		
311	断面2182	1135048	0.012				
梯形	1	9	59.877	66.208	2		
312	断面2183	1135750	0.012				
梯形	1	11	59.868	66.183	1		
313	断面2184	1136841	0.012				
梯形	1	10	59.767	65.882	2		
314	断面2185	1136846	0.012				
梯形	1	10	59.767	65.882	2		
315	断面2186	1136905	0.012				
梯形	1	10	59.544	65.655	2		
316	断面2187	1137419.583	0.012				
梯形	1	11	59.54141667	65.65241667	1.5		
317	断面2188	1137934.167	0.012				
梯形	1	11	59.53883333	65.64983333	1.5		
318	断面2189	1138448.75	0.012				
梯形	1	11	59.53625	65.64725	1.5		
319	断面2190	1138963.333	0.012				
梯形	1	11	59.53366667	65.64466667	1.5		
320	断面2191	1139477.917	0.012				
梯形	1	11	59.53108333	65.64208333	1.5		
321	断面2192	1139992.5	0.012				
梯形	1	11	59.5285	65.6395	1.5		
322	断面2193	1140507.083	0.012				
梯形	1	11	59.52591667	65.63691667	1.5		
323	断面2194	1141021.667	0.012				
梯形	1	11	59.52333333	65.63433333	1.5		
324	断面2195	1141536.25	0.012				
梯形	1	11	59.52075	65.63175	1.5		
325	断面2196	1142050.833	0.012				
梯形	1	11	59.51816667	65.62916667	1.5		
326	断面2197	1142565.417	0.012				
梯形	1	11	59.51558333	65.62658333	1.5		
327	断面2198	1143080	0.012				
梯形	1	11	59.513	65.616	1.5		
328	断面2199	1143608	0.012				
梯形	1	13	59.492	65.592	0.75		
329	断面2200	1144110.75	0.012				
梯形	1	7.5	59.47275	65.57275	2.5		
330	断面2201	1144613.5	0.012				
梯形	1	7.5	59.4535	65.5535	2.5		
331	断面2202	1145116.25	0.012				
梯形	1	7.5	59.43425	65.53425	2.5		
332	断面2203	1145619	0.012				
梯形	1	7.5	59.415	65.518	2.5		
333	断面2204	1147493	0.012				
梯形	1	7.5	59.207	65.31	2.5		
334	断面2205	1148029	0.012				
梯形	1	7.5	59.11	65.213	2.5		
335	断面2206	1148565	0.012				
梯形	1	7.5	59.013	65.126	2.5		
336	断面2207	1149129.429	0.012				
梯形	1	12	59.01085714	65.12385714	1		
337	断面2208	1149693.857	0.012				
梯形	1	12	59.00871429	65.12171429	1		
338	断面2209	1150258.286	0.012				
梯形	1	12	59.00657143	65.11957143	1		
339	断面2210	1150822.714	0.012				
梯形	1	12	59.00442857	65.11742857	1		
340	断面2211	1151387.143	0.012				
梯形	1	12	59.00228571	65.11528571	1		
341	断面2212	1151951.571	0.012				
梯形	1	12	59.00014286	65.11314286	1		
342	断面2213	1152516	0.012				
梯形	1	12	58.998	65.1	1		
343	断面2214	1153326	0.012				
城门形	2	4.9	58.877	4.7	2.829		
344	断面2215	1153658	0.012				
梯形	1	11.5	58.789	64.855	1		
345	断面2216	1153908	0.012				
梯形	1	9	58.739	64.809	2		
346	断面2217	1154533	0.012				
梯形	1	11	58.7075	64.7775	1		
347	断面2218	1155158	0.012				
梯形	1	11	58.676	64.739	1		
348	断面2219	1155786	0.012				
梯形	1	7.5	58.676	64.739	2.5		
349	断面2220	1156414	0.012				
梯形	1	7.5	58.676	64.739	2.5		
350	断面2221	1157002	0.012				
梯形	1	7.5	58.652	64.723	2.5		
351	断面2222	1157130	0.012				
梯形	1	7.5	58.649	64.721	2.5		
352	断面2223	1157652	0.012				
